Spec                                                                                                 | Tokens  | Tokenize (μs)   | Spec() (μs)   | Overhead %
-----------------------------------------------------------------------------------------------------+---------+-----------------+---------------+------------
mvapich                                                                                              | 1       |            1.13 |          5.92 |       80.8%
mvapich_foo                                                                                          | 1       |            1.34 |          6.14 |       78.2%
_mvapich_foo                                                                                         | 1       |            1.40 |          6.17 |       77.4%
3dtk                                                                                                 | 1       |            0.98 |          5.76 |       83.0%
ns-3-dev                                                                                             | 1       |            1.19 |          6.00 |       80.1%
@2.7                                                                                                 | 1       |            0.76 |         14.16 |       94.6%
@2.7:                                                                                                | 1       |            0.80 |         14.62 |       94.5%
@:2.7                                                                                                | 1       |            0.82 |         14.75 |       94.5%
+foo                                                                                                 | 1       |            0.55 |          7.71 |       92.8%
~foo                                                                                                 | 1       |            0.56 |          7.91 |       93.0%
-foo                                                                                                 | 1       |            0.56 |          8.02 |       93.1%
platform=test                                                                                        | 1       |            0.78 |          9.78 |       92.0%
openmpi ^hwloc                                                                                       | 4       |            2.97 |         21.63 |       86.3%
openmpi ^hwloc ^libunwind                                                                            | 7       |            5.13 |         36.45 |       85.9%
openmpi      ^hwloc^libunwind                                                                        | 6       |            4.76 |         34.44 |       86.2%
mvapich_foo ^_openmpi@1.2:1.4,1.6+debug~qt_4 %intel@12.1 ^stackwalker@8.1_1e                         | 15      |           10.66 |        118.88 |       91.0%
mvapich_foo ^_openmpi@1.2:1.4,1.6~qt_4 debug=2 %intel@12.1 ^stackwalker@8.1_1e                       | 16      |           11.25 |        121.22 |       90.7%
mvapich_foo ^_openmpi@1.2:1.4,1.6 cppflags=-O3 +debug~qt_4 %intel@12.1 ^stackwalker@8.1_1e           | 18      |           12.48 |        129.92 |       90.4%
yaml-cpp@0.1.8%intel@12.1 ^boost@3.1.4                                                               | 9       |            6.12 |         74.02 |       91.7%
builtin.yaml-cpp%gcc                                                                                 | 3       |            2.34 |         21.47 |       89.1%
testrepo.yaml-cpp%gcc                                                                                | 3       |            2.37 |         21.87 |       89.2%
builtin.yaml-cpp@0.1.8%gcc@7.2.0 ^boost@3.1.4                                                        | 9       |            6.03 |         75.56 |       92.0%
builtin.yaml-cpp ^testrepo.boost ^zlib                                                               | 7       |            5.21 |         37.62 |       86.1%
y~f+e~d+c~b+a                                                                                        | 7       |            2.66 |         26.01 |       89.8%
^*foo=bar                                                                                            | 3       |            1.41 |         21.76 |       93.5%
%*foo=bar                                                                                            | 3       |            1.43 |         24.00 |       94.0%
^*+foo                                                                                               | 3       |            1.35 |         21.23 |       93.7%
^*~foo                                                                                               | 3       |            1.29 |         21.45 |       94.0%
%*+foo                                                                                               | 3       |            1.28 |         21.32 |       94.0%
%*~foo                                                                                               | 3       |            1.27 |         21.04 |       94.0%
@1.6,1.2:1.4                                                                                         | 1       |            1.22 |         25.55 |       95.2%
platform=linux                                                                                       | 1       |            0.81 |          9.27 |       91.2%
develop-branch-version@abc12abc12abc12abc12abc12abc12abc12abc12=develop                              | 2       |            2.34 |         16.12 |       85.5%
develop-branch-version@git.aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa=develop+var1+var2                | 4       |            3.12 |         25.35 |       87.7%
%gcc@10.2.1:                                                                                         | 3       |            1.95 |         31.06 |       93.7%
%gcc@:10.2.1                                                                                         | 3       |            1.97 |         30.77 |       93.6%
%gcc@10.2.1:12.1.0                                                                                   | 3       |            1.99 |         33.41 |       94.0%
%gcc@10.1.0,12.2.1:                                                                                  | 3       |            2.35 |         42.44 |       94.5%
%gcc@:8.4.3,10.2.1:12.1.0                                                                            | 3       |            2.43 |         42.98 |       94.3%
dev_path=*                                                                                           | 1       |            0.81 |          8.39 |       90.3%
dev_path=none                                                                                        | 1       |            0.83 |          8.61 |       90.4%
dev_path=../relpath/work                                                                             | 1       |            0.85 |          8.76 |       90.3%
dev_path=/abspath/work                                                                               | 1       |            0.84 |          8.58 |       90.2%
cflags=a=b=c                                                                                         | 1       |            0.80 |          9.59 |       91.7%
cflags=a=b=c+~                                                                                       | 1       |            0.83 |          9.59 |       91.4%
cflags=-Wl,a,b,c                                                                                     | 1       |            0.82 |          9.68 |       91.5%
cflags=="-O3 -g"                                                                                     | 1       |            1.12 |         12.40 |       91.0%
@1.2:1.4 , 1.6                                                                                       | 1       |            1.34 |         28.18 |       95.2%
+ debug % intel @ 12.1:12.6                                                                          | 7       |            4.30 |         45.65 |       90.6%
@ 12.1:12.6 + debug - qt_4                                                                           | 5       |            2.73 |         30.84 |       91.1%
x ^y@foo ^y@foo                                                                                      | 9       |            4.93 |         79.19 |       93.8%
x ^y@foo ^y+bar                                                                                      | 9       |            4.72 |         77.47 |       93.9%
x ^y@foo +bar ^y@foo                                                                                 | 11      |            5.85 |         86.88 |       93.3%
_openmpi +debug-qt_4                                                                                 | 3       |            2.16 |         12.66 |       83.0%
_openmpi +debug -qt_4                                                                                | 5       |            3.03 |         18.09 |       83.2%
_openmpi +debug~qt_4                                                                                 | 4       |            2.53 |         16.82 |       85.0%
target=:broadwell,icelake                                                                            | 1       |            0.83 |         12.71 |       93.5%
foo @2.0 %bar@1.0                                                                                    | 7       |            4.35 |         48.00 |       90.9%
mvapich ^stackwalker ^_openmpi                                                                       | 7       |            5.94 |         36.72 |       83.8%
-----------------------------------------------------------------------------------------------------+---------+-----------------+---------------+------------
Total                                                                                                |         |                 |       1782.62 |            
